AETHALOMETER
Serial number = AE33-C06-00589
Application version = 1.4.2.0
Number of channels = 7

Date(yyyy/MM/dd); Time(hh:mm:ss); Timebase; RefCh1; Sen1Ch1; Sen2Ch1; RefCh2; Sen1Ch2; Sen2Ch2; RefCh3; Sen1Ch3; Sen2Ch3; RefCh4; Sen1Ch4; Sen2Ch4; RefCh5; Sen1Ch5; Sen2Ch5; RefCh6; Sen1Ch6; Sen2Ch6; RefCh7; Sen1Ch7; Sen2Ch7; Flow1; Flow2; FlowC; Pressure(Pa); Temperature(°C); BB(%); ContTemp; SupplyTemp; Status; ContStatus; DetectStatus; LedStatus; ValveStatus; LedTemp; BC11; BC12; BC1; BC21; BC22; BC2; BC31; BC32; BC3; BC41; BC42; BC4; BC51; BC52; BC5; BC61; BC62; BC6; BC71; BC72; BC7; K1; K2; K3; K4; K5; K6; K7; TapeAdvCount;


2018/01/15 00:00:00 60 936254 391118 614733 897849 460146 650833 891399 505102 707143 907567 563131 765073 854589 613493 794069 669429 678115 826656 716768 665943 835945 3596 1408 5004 101325 21.11 16.1 25 40 0 0 10 10 00000 26 373 621 777 376 588 620 355 522 540 362 508 524 410 542 568 442 585 552 436 563 533 0.00672169 0.006918582 0.0070654 0.007250643 0.007553124 0.007173947 0.007011293 133
2018/01/15 00:01:00 60 936295 390935 614556 897902 459969 650703 891439 504918 707001 907698 563004 765025 854661 613356 794000 669516 678014 826642 716873 665883 835959 3596 1408 5004 101325 21.11 24.7 25 41 0 0 10 10 00000 26 395 654 825 435 648 717 444 681 677 456 651 659 424 602 587 512 689 639 469 657 573 0.006719464 0.006915092 0.00706279 0.007246227 0.007548209 0.007167912 0.007006992 133
2018/01/15 00:02:00 60 936347 390774 614385 897921 459799 650557 891462 504745 706874 907691 562815 764872 854638 613167 793863 669506 677863 826545 716842 665717 835848 3596 1408 5004 101325 21.11 26.1 26 41 0 0 10 10 00000 26 361 658 753 383 615 632 400 570 610 404 605 584 388 513 536 381 480 476 409 454 499 0.00671802 0.006912658 0.007058108 0.0072427 0.007540504 0.007156285 0.006988705 133
2018/01/15 00:03:00 60 936352 390598 614214 897938 459640 650441 891440 504572 706733 907628 562623 764707 854634 612997 793739 669499 677722 826448 716840 665583 835765 3596 1408 5004 101325 21.11 22.3 26 41 0 0 10 10 00000 26 352 559 735 358 494 590 345 485 526 335 460 484 376 533 520 363 501 452 394 489 481 0.006715415 0.006907931 0.007053075 0.007236653 0.007535026 0.00714867 0.006975912 133
2018/01/15 00:04:00 60 936308 390400 614004 897914 459460 650289 891424 504399 706585 907602 562438 764555 854632 612847 793634 669470 677546 826315 716853 665462 835689 3596 1408 5004 101325 21.11 21.5 26 41 0 0 10 10 00000 26 355 582 742 358 518 590 353 531 538 370 535 535 334 457 462 397 551 495 397 553 484 0.006713079 0.006903916 0.007049472 0.007232058 0.007528219 0.007142319 0.006969488 133
2018/01/15 00:05:00 60 936325 390237 613851 897957 459315 650188 891476 504263 706495 907612 562283 764456 854685 612720 793571 669548 677492 826340 716862 665348 835621 3596 1408 5004 101325 21.11 31.5 25 41 0 0 10 10 00000 26 336 527 703 357 509 588 356 515 543 353 442 510 371 498 513 360 404 449 365 476 445 0.006710397 0.006899654 0.007045056 0.007224092 0.007521007 0.007126119 0.006958948 133
2018/01/15 00:06:00 60 936336 390064 613664 897927 459125 650020 891425 504071 706334 907567 562090 764282 854619 612519 793396 669493 677303 826184 716829 665185 835497 3596 1408 5004 101325 21.11 27.2 26 41 0 0 10 10 00000 26 351 624 734 373 564 615 351 473 535 362 560 523 346 504 478 361 500 450 395 519 482 0.006708774 0.006896351 0.007039459 0.007221291 0.007516304 0.007118977 0.006949644 133
2018/01/15 00:07:00 60 936367 389898 613513 897961 458982 649914 891465 503923 706234 907593 561943 764190 854671 612395 793341 669545 677208 826153 716894 665105 835485 3596 1408 5004 101325 21.11 10.5 26 41 0 0 10 10 00000 26 354 551 740 343 503 565 367 517 560 357 469 517 363 458 502 400 540 499 418 532 510 0.006706094 0.006892679 0.007034729 0.007214529 0.007507614 0.007111676 0.006939103 133
